epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.69396,3.6941,4.86525,4.24167,0.00023,0.06034,0.00017,5e-05,4.03843,3.75712,4.11023,0.0707143,0.00325397,0.00325397
2,13.747,3.57236,4.48151,4.16486,0.00027,0.06897,0.00021,6e-05,3.90726,3.80459,4.03688,0.0407034,0.00657643,0.00657643
3,18.6613,3.50161,4.30971,4.10198,0.00062,0.15517,0.00047,0.0001,3.78743,3.81612,4.02957,0.0106815,0.0098879,0.0098879
4,23.5501,3.41529,4.22203,4.00823,0.00053,0.16954,0.00039,7e-05,3.78148,26.7976,5.16206,0.0099505,0.0099505,0.0099505
5,28.6143,3.2426,4.05113,3.80661,0.00215,0.14368,0.00182,0.00044,nan,nan,nan,0.009934,0.009934,0.009934
6,33.4615,3.05713,3.7985,3.59913,0.5564,0.07184,0.01694,0.00292,3.17086,4.76564,5.99027,0.0099175,0.0099175,0.0099175
7,38.333,2.9017,3.56656,3.40938,0.55152,0.05172,0.01199,0.00215,2.9741,5.36542,4.31354,0.009901,0.009901,0.009901
8,43.2342,2.77654,3.34679,3.25122,0.54907,0.12069,0.03305,0.00708,2.53119,10.1482,2.9092,0.0098845,0.0098845,0.0098845
9,48.1018,2.74163,3.20911,3.15997,0.04356,0.23019,0.01511,0.00398,2.72437,4.91324,3.58736,0.009868,0.009868,0.009868
10,52.9659,2.67758,3.05234,3.07677,0.33231,0.34126,0.20349,0.07432,2.36591,8.71587,2.90166,0.0098515,0.0098515,0.0098515
11,57.7909,2.60713,3.00343,3.00077,0.48008,0.26921,0.25085,0.09252,2.29773,3.38923,2.70971,0.009835,0.009835,0.009835
12,62.6371,2.57111,2.86264,2.95715,0.55384,0.44788,0.45322,0.17642,2.22907,3.54944,2.73569,0.0098185,0.0098185,0.0098185
13,67.4754,2.47556,2.7996,2.85894,0.64105,0.4755,0.53541,0.23494,2.11307,3.17572,2.59742,0.009802,0.009802,0.009802
14,72.2859,2.45221,2.74411,2.82138,0.48156,0.39957,0.41036,0.1631,2.17801,2.60596,2.62461,0.0097855,0.0097855,0.0097855
15,77.1346,2.39005,2.69642,2.77358,0.594,0.42498,0.409,0.18941,2.17125,2.72784,2.63663,0.009769,0.009769,0.009769
16,82.0341,2.31908,2.52584,2.69875,0.77703,0.58772,0.6517,0.27601,1.95423,2.80423,2.45741,0.0097525,0.0097525,0.0097525
17,86.84,2.20923,2.46351,2.58403,0.79358,0.49121,0.6334,0.2994,1.93543,1.89249,2.43535,0.009736,0.009736,0.009736
18,91.6686,2.12868,2.33732,2.43753,0.71832,0.55797,0.63096,0.29661,1.87491,2.35608,2.34643,0.0097195,0.0097195,0.0097195
19,96.53,2.06166,2.28647,2.3568,0.78463,0.59604,0.68168,0.34077,1.75572,1.90346,2.2151,0.009703,0.009703,0.009703
20,101.365,2.00185,2.09408,2.2673,0.65008,0.65417,0.6498,0.2967,1.89199,1.76707,2.35632,0.0096865,0.0096865,0.0096865
21,106.152,1.98843,2.05856,2.21346,0.64298,0.46356,0.53828,0.24263,1.90353,1.97269,2.28189,0.00967,0.00967,0.00967
22,110.974,1.91675,1.98523,2.12135,0.65798,0.47565,0.52901,0.23157,1.94565,1.77796,2.37808,0.0096535,0.0096535,0.0096535
23,115.787,1.87957,1.92356,2.11718,0.67062,0.68195,0.70733,0.35523,1.67676,1.45482,2.0914,0.009637,0.009637,0.009637
24,120.595,1.86024,1.84158,2.0528,0.80814,0.65033,0.736,0.35183,1.67945,1.48305,2.09782,0.0096205,0.0096205,0.0096205
25,125.384,1.85386,1.86127,2.05161,0.8427,0.67037,0.77875,0.40694,1.65517,1.39248,2.07314,0.009604,0.009604,0.009604
26,130.18,1.84377,1.81949,2.0342,0.79463,0.63972,0.721,0.3602,1.64896,1.36972,2.05232,0.0095875,0.0095875,0.0095875
27,135.041,1.78978,1.70484,1.96738,0.91891,0.66268,0.76984,0.39661,1.66759,1.50715,2.08328,0.009571,0.009571,0.009571
28,139.83,1.78066,1.67626,1.9227,0.79818,0.6116,0.69357,0.35875,1.79181,1.50127,2.18664,0.0095545,0.0095545,0.0095545
29,144.661,1.74264,1.64363,1.89175,0.87114,0.74456,0.82521,0.46208,1.60866,1.32239,1.93842,0.009538,0.009538,0.009538
30,149.471,1.74854,1.59404,1.89393,0.89267,0.73367,0.81302,0.45116,1.5846,1.24591,1.88894,0.0095215,0.0095215,0.0095215
31,154.331,1.74589,1.63475,1.86188,0.89728,0.71476,0.81225,0.45061,1.60744,1.23163,1.90221,0.009505,0.009505,0.009505
32,159.148,1.71005,1.53996,1.86047,0.84517,0.71152,0.78212,0.44482,1.55416,1.25202,1.85547,0.0094885,0.0094885,0.0094885
33,163.934,1.68876,1.52161,1.83387,0.90887,0.72944,0.82845,0.45406,1.62241,1.12273,1.88701,0.009472,0.009472,0.009472
34,168.742,1.63814,1.48143,1.78325,0.86701,0.72057,0.81245,0.44403,1.60831,1.12515,1.89109,0.0094555,0.0094555,0.0094555
35,173.543,1.63784,1.47987,1.78456,0.92718,0.72973,0.83324,0.47605,1.62509,1.18283,1.93442,0.009439,0.009439,0.009439
36,178.367,1.65522,1.49389,1.78058,0.91298,0.71855,0.83274,0.47752,1.49609,1.168,1.7928,0.0094225,0.0094225,0.0094225
37,183.192,1.60411,1.43953,1.736,0.88488,0.79658,0.84804,0.48373,1.55593,1.13678,1.80987,0.009406,0.009406,0.009406
