epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.555,3.54809,4.54631,4.20649,0.00084,0.17552,0.0008,0.00019,3.71142,3.67964,4.08057,0.0706977,0.00325581,0.00325581
2,26.4679,3.38723,4.10977,4.1064,0.00103,0.2321,0.00118,0.00027,3.49812,3.4712,3.95406,0.0406868,0.00657828,0.00657828
3,38.0609,3.24882,3.90471,3.92538,0.00296,0.01039,0.00097,0.00023,3.54967,11.9154,9.71833,0.0106649,0.00988974,0.00988974
4,49.5349,2.92096,3.53999,3.50705,0.52919,0.04042,0.00859,0.00239,3.52812,6.60574,7.58935,0.0099505,0.0099505,0.0099505
5,61.0835,2.67451,3.25281,3.21724,0.53345,0.02309,0.00657,0.00175,2.98974,5.86532,4.03991,0.009934,0.009934,0.009934
6,72.7366,2.51349,2.97886,3.01792,0.61187,0.10508,0.07788,0.02761,2.48421,8.52231,3.14141,0.0099175,0.0099175,0.0099175
7,84.4038,2.3827,2.80296,2.86706,0.64858,0.17783,0.1195,0.04541,2.24624,3.84535,3.01239,0.009901,0.009901,0.009901
8,96.0198,2.23368,2.55767,2.72961,0.42497,0.4579,0.39561,0.16631,2.15078,3.93986,2.86815,0.0098845,0.0098845,0.0098845
9,107.641,2.14089,2.38414,2.60053,0.58461,0.41032,0.47655,0.21584,1.99876,3.23926,2.65459,0.009868,0.009868,0.009868
10,119.161,2.00429,2.17539,2.43162,0.47251,0.46181,0.41263,0.15874,2.06335,2.18053,2.63831,0.0098515,0.0098515,0.0098515
11,130.682,1.89783,2.00571,2.30619,0.71238,0.48118,0.54124,0.21838,2.0815,1.9289,2.60891,0.009835,0.009835,0.009835
12,142.184,1.8346,1.85046,2.22976,0.72939,0.5885,0.64701,0.32126,1.78865,1.60619,2.32534,0.0098185,0.0098185,0.0098185
13,153.745,1.75364,1.77056,2.1208,0.74049,0.55579,0.6109,0.2735,1.87131,1.5697,2.36411,0.009802,0.009802,0.009802
14,165.306,1.7133,1.70381,2.08685,0.83176,0.61766,0.71578,0.36097,1.62333,1.39284,2.16167,0.0097855,0.0097855,0.0097855
15,176.942,1.67684,1.66351,2.04252,0.87259,0.58868,0.71744,0.37047,1.68767,1.55106,2.23217,0.009769,0.009769,0.009769
16,188.496,1.63096,1.55718,1.9932,0.80634,0.68555,0.75306,0.40015,1.6817,1.24659,2.23429,0.0097525,0.0097525,0.0097525
17,200.084,1.63651,1.54274,1.97509,0.88003,0.69286,0.77422,0.40835,1.55705,1.27439,2.01401,0.009736,0.009736,0.009736
18,211.574,1.59809,1.4898,1.92848,0.81409,0.69421,0.76529,0.42859,1.49009,1.19109,2.00239,0.0097195,0.0097195,0.0097195
19,223.116,1.53032,1.40673,1.88844,0.76705,0.62271,0.7152,0.35437,1.68234,1.28453,2.1835,0.009703,0.009703,0.009703
20,234.655,1.54016,1.42992,1.87552,0.91449,0.68927,0.79842,0.41086,1.54386,1.13086,1.99689,0.0096865,0.0096865,0.0096865
21,246.313,1.53895,1.37084,1.86883,0.84697,0.64282,0.7542,0.39221,1.49141,1.22855,2.00204,0.00967,0.00967,0.00967
22,257.813,1.52613,1.3664,1.8555,0.85375,0.6974,0.8007,0.43028,1.49996,1.05965,1.9586,0.0096535,0.0096535,0.0096535
23,269.35,1.50817,1.30583,1.82464,0.87275,0.7458,0.82095,0.44393,1.43929,1.07612,1.9384,0.009637,0.009637,0.009637
24,280.859,1.44899,1.25478,1.78299,0.82627,0.5431,0.73038,0.3504,1.66928,1.38174,2.10953,0.0096205,0.0096205,0.0096205
25,292.38,1.45504,1.24306,1.78747,0.80984,0.72319,0.79251,0.4396,1.39143,1.08455,1.87835,0.009604,0.009604,0.009604
26,303.902,1.41462,1.20349,1.74201,0.95971,0.74695,0.84792,0.48204,1.46772,0.99794,1.90101,0.0095875,0.0095875,0.0095875
27,315.498,1.43614,1.21959,1.76701,0.90368,0.74464,0.8395,0.43616,1.50484,1.06058,1.94265,0.009571,0.009571,0.009571
28,327.028,1.42729,1.19875,1.76749,0.89098,0.72633,0.8229,0.43593,1.42576,1.00285,1.89948,0.0095545,0.0095545,0.0095545
29,338.644,1.3868,1.18592,1.7304,0.9148,0.77462,0.85571,0.44254,1.43306,0.96404,1.88536,0.009538,0.009538,0.009538
30,350.137,1.40274,1.16845,1.73238,0.91812,0.75341,0.85743,0.48713,1.35881,0.93003,1.82805,0.0095215,0.0095215,0.0095215
31,361.588,1.38731,1.15249,1.72094,0.88401,0.78782,0.85693,0.5143,1.32772,0.88062,1.76474,0.009505,0.009505,0.009505
32,373.045,1.37119,1.1359,1.69766,0.91135,0.77445,0.86823,0.48943,1.35057,0.93318,1.82116,0.0094885,0.0094885,0.0094885
33,384.582,1.36189,1.11037,1.704,0.91264,0.78275,0.85565,0.45766,1.33768,0.94205,1.7583,0.009472,0.009472,0.009472
34,396.118,1.35097,1.123,1.68932,0.91885,0.77535,0.85481,0.52566,1.26605,0.8541,1.7012,0.0094555,0.0094555,0.0094555
35,407.522,1.34852,1.11211,1.68044,0.91153,0.82454,0.86813,0.52138,1.25389,0.84753,1.70262,0.009439,0.009439,0.009439
36,418.983,1.31749,1.08195,1.65789,0.90618,0.79314,0.86619,0.49097,1.32579,0.85214,1.79321,0.0094225,0.0094225,0.0094225
37,430.453,1.32188,1.11513,1.65121,0.89,0.76502,0.84283,0.46459,1.45057,1.02547,1.88116,0.009406,0.009406,0.009406
38,441.924,1.30328,1.05918,1.6435,0.94396,0.80374,0.90507,0.54124,1.27519,0.83417,1.71348,0.0093895,0.0093895,0.0093895
39,453.438,1.28164,1.02295,1.61794,0.91334,0.84462,0.88627,0.49559,1.31731,0.82203,1.7465,0.009373,0.009373,0.009373
40,464.856,1.28796,1.01769,1.61432,0.94827,0.7671,0.88891,0.53583,1.22724,0.76764,1.67109,0.0093565,0.0093565,0.0093565
41,476.397,1.31247,1.04297,1.65267,0.92771,0.79115,0.89496,0.5153,1.24305,0.76163,1.67225,0.00934,0.00934,0.00934
42,487.881,1.27682,1.04154,1.6259,0.8941,0.77728,0.86505,0.52803,1.31062,0.89103,1.74407,0.0093235,0.0093235,0.0093235
43,499.396,1.29574,1.04739,1.63839,0.92608,0.81022,0.89454,0.53494,1.33839,0.87905,1.74387,0.009307,0.009307,0.009307
44,510.91,1.26392,1.00941,1.60176,0.9377,0.83612,0.9051,0.54659,1.21474,0.74502,1.64809,0.0092905,0.0092905,0.0092905
45,522.351,1.25907,0.99163,1.60092,0.93603,0.78546,0.86631,0.49639,1.34897,0.80479,1.71752,0.009274,0.009274,0.009274
46,533.865,1.27294,1.03365,1.60808,0.90088,0.82372,0.89439,0.52943,1.24084,0.73264,1.65171,0.0092575,0.0092575,0.0092575
47,545.346,1.27698,0.99376,1.59391,0.85264,0.87371,0.88842,0.54537,1.24789,0.78194,1.6927,0.009241,0.009241,0.009241
48,556.846,1.23558,0.95796,1.57085,0.91101,0.80028,0.89138,0.55932,1.18778,0.76889,1.62323,0.0092245,0.0092245,0.0092245
49,568.322,1.25201,0.97204,1.59418,0.95353,0.82013,0.91222,0.53879,1.21993,0.72567,1.63077,0.009208,0.009208,0.009208
50,579.82,1.24102,0.98723,1.56701,0.94615,0.79669,0.89722,0.55016,1.24364,0.78582,1.64068,0.0091915,0.0091915,0.0091915
51,591.259,1.20917,0.95955,1.54936,0.90354,0.85432,0.89082,0.55087,1.23678,0.72414,1.64482,0.009175,0.009175,0.009175
52,602.72,1.24258,0.96419,1.56504,0.92671,0.7956,0.89913,0.53656,1.27741,0.79395,1.74119,0.0091585,0.0091585,0.0091585
53,614.15,1.22326,0.95361,1.5707,0.91118,0.8509,0.90192,0.57502,1.23199,0.72374,1.64886,0.009142,0.009142,0.009142
54,625.648,1.20642,0.92107,1.54879,0.8957,0.86001,0.91126,0.54919,1.22185,0.7019,1.641,0.0091255,0.0091255,0.0091255
55,637.077,1.20372,0.92206,1.54109,0.90032,0.83216,0.89848,0.54024,1.20477,0.73673,1.64186,0.009109,0.009109,0.009109
56,648.55,1.21317,0.91909,1.54595,0.89969,0.88251,0.9184,0.55911,1.13733,0.69871,1.56904,0.0090925,0.0090925,0.0090925
57,659.961,1.19908,0.92791,1.54794,0.94823,0.83909,0.90833,0.53947,1.24014,0.71708,1.68268,0.009076,0.009076,0.009076
58,671.412,1.18481,0.92298,1.53202,0.91832,0.84956,0.90255,0.56092,1.20539,0.68266,1.65031,0.0090595,0.0090595,0.0090595
59,682.827,1.20574,0.91932,1.5579,0.96885,0.82488,0.90045,0.54847,1.21288,0.69593,1.63283,0.009043,0.009043,0.009043
60,694.229,1.20242,0.92039,1.54418,0.95844,0.80491,0.90231,0.5401,1.19465,0.68832,1.60217,0.0090265,0.0090265,0.0090265
61,705.693,1.17407,0.88916,1.51318,0.93467,0.84475,0.89273,0.56085,1.24618,0.71204,1.65361,0.00901,0.00901,0.00901
62,717.156,1.1594,0.89487,1.51808,0.9085,0.87756,0.91377,0.57424,1.18032,0.68009,1.60305,0.0089935,0.0089935,0.0089935
63,728.674,1.18304,0.89687,1.52238,0.87882,0.8982,0.93529,0.58527,1.20485,0.65345,1.62399,0.008977,0.008977,0.008977
64,740.142,1.16437,0.89241,1.49796,0.92898,0.84205,0.91619,0.56922,1.16188,0.65668,1.59133,0.0089605,0.0089605,0.0089605
65,751.599,1.15198,0.86713,1.49731,0.95049,0.83737,0.91671,0.57837,1.17461,0.66446,1.60101,0.008944,0.008944,0.008944
66,763.047,1.12678,0.83739,1.4782,0.93451,0.86101,0.93411,0.55189,1.23208,0.67757,1.66198,0.0089275,0.0089275,0.0089275
67,774.592,1.1417,0.86303,1.4945,0.89822,0.83599,0.89099,0.56699,1.15172,0.69154,1.58005,0.008911,0.008911,0.008911
